TRAPID,City,YEAR,MONTH,WEEK,Cx_quinquefasciatus_fem,Manhole_within_1KM,ElevationinFeet,DistancetoCanal,POVERTY_RATE,POVERTY_NUMBER,NDVI,NDVI_-1,WATER_BODY,WATER_BODY_-1,Mean_Precipitation,Mean_Precipitation-1,Mean_Precipitation-2,Mean_Precipitation-3,Mean_Precipitation-4,Mean_Precipitation-5,Mean_Humidity,Maximum_Humidity,Minimum_Humidity,Mean_Humidity-1,Max_Humidity-1,Min_Humidity-1,Mean_Humidity-2,Max_Humidity-2,Min_Humidity-2,Mean_Humidity-3,Max_Humidity-3,Min_Humidity-3,Mean_Humidity-4,Max_Humidity-4,Min_Humidity-4,Mean_Humidity-5,Max_Humidity-5,Min_Humidity-5,Mean_Temperature,Maximum_Temperature,Minimum_Temperature,Mean_Temperature-1,Max_Temperature-1,Min_Temperature-1,Mean_Temperature-2,Max_Temperature-2,Min_Temperature-2,Mean_Temperature-3,Max_Temperature-3,Min_Temperature-3,Mean_Temperature-4,Max_Temperature-4,Min_Temperature-4,Mean_Temperature-5,Max_Temperature-5,Min_Temperature-5
BR2,Miami,2016,9,1,1,35,9.890000343,1054.359932,13.8,8519,0.216484,0.213948,0.216484,0.213948,0.203857143,0.664858333,0.057219643,0.115601786,0.177641071,0.885783929,81.67111643,97.83666667,57.42,88.68599306,99.294,75.7375,75.35124702,93.77,51.76666667,76.28029464,92.57,53.58,81.28986688,100,62.07333333,77.77502799,96.30142857,59.33,82.95595663,90.62,75.7175,80.0935625,84.92,75.2675,85.42714116,92.3,79.525,84.50873214,92.3,78.02,82.49312175,90.86,75.92,83.4036943,90.02,75.04571429
CC107,Miami,2018,8,2,3,27,15.85999966,401.8262236,28.4,2184,0.0914969,0.088959,0.0914969,0.088959,0.685569643,0.133617857,0.13545,0.655407143,0.127691071,0.091098214,80.46418452,100,57.26333333,76.92046216,96.144,56.31666667,83.67659259,92.41,66.81,80.245804,96.605,61.0275,73.64948597,88.34333333,48.44666667,74.66116794,95.65,52.87,82.06051871,91.26666667,73.9,83.6636182,89.36666667,77.66666667,81.08119048,87.7,76.26666667,83.23880527,91.075,76.725,84.42572066,92.26666667,78.4,82.61155187,91.6,74.92
CC107,Miami,2018,8,3,1,27,15.85999966,401.8262236,28.4,2184,0.0914969,0.088959,0.0914969,0.088959,0.079128571,0.685569643,0.133617857,0.13545,0.655407143,0.127691071,75.98690795,93.36333333,59.85,80.46418452,100,57.26333333,76.92046216,96.144,56.31666667,83.67659259,92.41,66.81,80.245804,96.605,61.0275,73.64948597,88.34333333,48.44666667,84.13873937,89.7,77.36666667,82.06051871,91.26666667,73.9,83.6636182,89.36666667,77.66666667,81.08119048,87.7,76.26666667,83.23880527,91.075,76.725,84.42572066,92.26666667,78.4
CC107,Miami,2018,9,2,3,27,15.85999966,401.8262236,28.4,2184,0.0708287,0.0914969,0.0708287,0.0914969,0.140903571,0.450780357,0.033016667,0.31915,0.079128571,0.685569643,80.92735204,100,62.72666667,83.54603061,98.73142857,64.41333333,80.59423314,89.65,68.116,79.62494232,95.54666667,59.548,75.98690795,93.36333333,59.85,80.46418452,100,57.26333333,82.27434524,89.525,74.63333333,81.12565901,88.36666667,75.48333333,82.41509425,87.38,78.1875,82.4690292,89.1,75.41666667,84.13873937,89.7,77.36666667,82.06051871,91.26666667,73.9
CC107,Miami,2018,9,3,8,27,15.85999966,401.8262236,28.4,2184,0.0708287,0.0914969,0.0708287,0.0914969,0.358401786,0.140903571,0.450780357,0.033016667,0.31915,0.079128571,77.46866334,96.64666667,60.73666667,80.92735204,100,62.72666667,83.54603061,98.73142857,64.41333333,80.59423314,89.65,68.116,79.62494232,95.54666667,59.548,75.98690795,93.36333333,59.85,83.8374178,89.33333333,78.01111111,82.27434524,89.525,74.63333333,81.12565901,88.36666667,75.48333333,82.41509425,87.38,78.1875,82.4690292,89.1,75.41666667,84.13873937,89.7,77.36666667
CC107,Miami,2018,10,2,2,27,15.85999966,401.8262236,28.4,2184,0.0813034,0.0708287,0.0813034,0.0708287,0.044869643,0.190946429,0.093175,0.013046429,0.358401786,0.140903571,83.76722662,100,65.20333333,75.78521825,96.67555556,61.09666667,75.26814137,90.688,60.18666667,76.46387628,95.332,59.26333333,77.46866334,96.64666667,60.73666667,80.92735204,100,62.72666667,82.43033588,87.76666667,77.73333333,82.3303373,88.06666667,76.55555556,83.96894345,89.33333333,80.1,84.20772109,89.7,77.73333333,83.8374178,89.33333333,78.01111111,82.27434524,89.525,74.63333333
CC107,Miami,2018,10,4,8,27,15.85999966,401.8262236,28.4,2184,0.0813034,0.0708287,0.0813034,0.0708287,0.002508929,0.020917857,0.044869643,0.190946429,0.093175,0.013046429,73.11434524,92.42,52.29333333,78.60530952,96.61,53.22333333,83.76722662,100,65.20333333,75.78521825,96.67555556,61.09666667,75.26814137,90.688,60.18666667,76.46387628,95.332,59.26333333,78.95238095,87.33333333,67.26666667,82.06226191,87.7,74.63333333,82.43033588,87.76666667,77.73333333,82.3303373,88.06666667,76.55555556,83.96894345,89.33333333,80.1,84.20772109,89.7,77.73333333
CC107,Miami,2018,10,5,44,27,15.85999966,401.8262236,28.4,2184,0.0813034,0.0708287,0.0813034,0.0708287,0,0.002508929,0.020917857,0.044869643,0.190946429,0.093175,63.67208333,81.13666667,45.72,73.11434524,92.42,52.29333333,78.60530952,96.61,53.22333333,83.76722662,100,65.20333333,75.78521825,96.67555556,61.09666667,75.26814137,90.688,60.18666667,74.92638889,82.33333333,66.9,78.95238095,87.33333333,67.26666667,82.06226191,87.7,74.63333333,82.43033588,87.76666667,77.73333333,82.3303373,88.06666667,76.55555556,83.96894345,89.33333333,80.1
CC107,Miami,2018,11,1,18,27,15.85999966,401.8262236,28.4,2184,0.0785605,0.0813034,0.0785605,0.0813034,0.288764286,0,0.002508929,0.020917857,0.044869643,0.190946429,79.97020451,99.00666667,61.03,63.67208333,81.13666667,45.72,73.11434524,92.42,52.29333333,78.60530952,96.61,53.22333333,83.76722662,100,65.20333333,75.78521825,96.67555556,61.09666667,78.90346514,86.36,71.55,74.92638889,82.33333333,66.9,78.95238095,87.33333333,67.26666667,82.06226191,87.7,74.63333333,82.43033588,87.76666667,77.73333333,82.3303373,88.06666667,76.55555556
CC107,Miami,2018,11,2,5,27,15.85999966,401.8262236,28.4,2184,0.0785605,0.0813034,0.0785605,0.0813034,0.107344643,0.288764286,0,0.002508929,0.020917857,0.044869643,82.36176531,97.92833333,59.20666667,79.97020451,99.00666667,61.03,63.67208333,81.13666667,45.72,73.11434524,92.42,52.29333333,78.60530952,96.61,53.22333333,83.76722662,100,65.20333333,79.74553571,85.33333333,74.23333333,78.90346514,86.36,71.55,74.92638889,82.33333333,66.9,78.95238095,87.33333333,67.26666667,82.06226191,87.7,74.63333333,82.43033588,87.76666667,77.73333333
CC107,Miami,2018,11,4,8,27,15.85999966,401.8262236,28.4,2184,0.0785605,0.0813034,0.0785605,0.0813034,0.0014375,0.016975,0.107344643,0.288764286,0,0.002508929,78.83992262,100,26.86,78.53140179,93.83,63.80666667,82.36176531,97.92833333,59.20666667,79.97020451,99.00666667,61.03,63.67208333,81.13666667,45.72,73.11434524,92.42,52.29333333,72.06767857,83.56666667,51.7,75.18880952,82.6,61,79.74553571,85.33333333,74.23333333,78.90346514,86.36,71.55,74.92638889,82.33333333,66.9,78.95238095,87.33333333,67.26666667
CC107,Miami,2018,12,1,35,27,15.85999966,401.8262236,28.4,2184,0.049716,0.0785605,0.049716,0.0785605,1.07E-05,6.25E-06,0.0014375,0.016975,0.107344643,0.288764286,74.21727976,100,37.88,57.966875,79.71,32.49666667,78.83992262,100,26.86,78.53140179,93.83,63.80666667,82.36176531,97.92833333,59.20666667,79.97020451,99.00666667,61.03,73.86202381,86,54,64.69166667,75.6,50.73333333,72.06767857,83.56666667,51.7,75.18880952,82.6,61,79.74553571,85.33333333,74.23333333,78.90346514,86.36,71.55
CC107,Miami,2018,12,2,46,27,15.85999966,401.8262236,28.4,2184,0.049716,0.0785605,0.049716,0.0785605,0.000910714,1.07E-05,6.25E-06,0.0014375,0.016975,0.107344643,73.71935119,95.83,49.02333333,74.21727976,100,37.88,57.966875,79.71,32.49666667,78.83992262,100,26.86,78.53140179,93.83,63.80666667,82.36176531,97.92833333,59.20666667,70.28919643,82,52.36666667,73.86202381,86,54,64.69166667,75.6,50.73333333,72.06767857,83.56666667,51.7,75.18880952,82.6,61,79.74553571,85.33333333,74.23333333
CC107,Miami,2018,12,3,157,27,15.85999966,401.8262236,28.4,2184,0.049716,0.0785605,0.049716,0.0785605,0.226978571,0.000910714,1.07E-05,6.25E-06,0.0014375,0.016975,80.19826743,99.1425,49.26333333,73.71935119,95.83,49.02333333,74.21727976,100,37.88,57.966875,79.71,32.49666667,78.83992262,100,26.86,78.53140179,93.83,63.80666667,70.00764668,81.66666667,56.26666667,70.28919643,82,52.36666667,73.86202381,86,54,64.69166667,75.6,50.73333333,72.06767857,83.56666667,51.7,75.18880952,82.6,61
CC107,Miami,2019,1,2,6,27,15.85999966,401.8262236,20.8,2307,0.0478975,0.049716,0.0478975,0.049716,0.004473214,0.000542857,0,0.001617857,0.226978571,0.000910714,70.01790179,99.2325,23.71666667,80.71364583,99.17,53.42666667,82.41291667,96.38,66.52,73.02647321,89.73666667,56.90333333,80.19826743,99.1425,49.26333333,73.71935119,95.83,49.02333333,68.88550595,80.03333333,53.7,73.67464286,82.6,56.26666667,76.45,81.66666667,72.96666667,69.64467262,80.46,55,70.00764668,81.66666667,56.26666667,70.28919643,82,52.36666667
CC107,Miami,2019,1,3,26,27,15.85999966,401.8262236,20.8,2307,0.0478975,0.049716,0.0478975,0.049716,0.027683929,0.004473214,0.000542857,0,0.001617857,0.226978571,74.00787946,97.06875,50.08666667,70.01790179,99.2325,23.71666667,80.71364583,99.17,53.42666667,82.41291667,96.38,66.52,73.02647321,89.73666667,56.90333333,80.19826743,99.1425,49.26333333,65.04375,77.36666667,47.26666667,68.88550595,80.03333333,53.7,73.67464286,82.6,56.26666667,76.45,81.66666667,72.96666667,69.64467262,80.46,55,70.00764668,81.66666667,56.26666667
CC107,Miami,2019,1,4,40,27,15.85999966,401.8262236,20.8,2307,0.0478975,0.049716,0.0478975,0.049716,0.243076786,0.027683929,0.004473214,0.000542857,0,0.001617857,81.86734524,100,54.31333333,74.00787946,97.06875,50.08666667,70.01790179,99.2325,23.71666667,80.71364583,99.17,53.42666667,82.41291667,96.38,66.52,73.02647321,89.73666667,56.90333333,66.88525794,81.96666667,52.43333333,65.04375,77.36666667,47.26666667,68.88550595,80.03333333,53.7,73.67464286,82.6,56.26666667,76.45,81.66666667,72.96666667,69.64467262,80.46,55
CC107,Miami,2019,1,5,19,27,15.85999966,401.8262236,20.8,2307,0.0478975,0.049716,0.0478975,0.049716,0.001675,0.243076786,0.027683929,0.004473214,0.000542857,0,74.22319444,90.34666667,38.85,81.86734524,100,54.31333333,74.00787946,97.06875,50.08666667,70.01790179,99.2325,23.71666667,80.71364583,99.17,53.42666667,82.41291667,96.38,66.52,61.84111111,74.075,50,66.88525794,81.96666667,52.43333333,65.04375,77.36666667,47.26666667,68.88550595,80.03333333,53.7,73.67464286,82.6,56.26666667,76.45,81.66666667,72.96666667
CC107,Miami,2019,2,1,19,27,15.85999966,401.8262236,20.8,2307,0.0629085,0.0478975,0.0629085,0.0478975,1.43E-05,0.001675,0.243076786,0.027683929,0.004473214,0.000542857,79.02296726,100,52.54,74.22319444,90.34666667,38.85,81.86734524,100,54.31333333,74.00787946,97.06875,50.08666667,70.01790179,99.2325,23.71666667,80.71364583,99.17,53.42666667,72.19532738,82.3,63.96666667,61.84111111,74.075,50,66.88525794,81.96666667,52.43333333,65.04375,77.36666667,47.26666667,68.88550595,80.03333333,53.7,73.67464286,82.6,56.26666667
