Date_Submitted,Cx_quinquefasciatus_fem,TRAPID,LOCATION
9/20/2016,30,CW6,23941 SW 112 Ct
9/23/2016,30,CW6,23941 SW 112 Ct
9/27/2016,15,CW6,23941 SW 112 Ct
9/29/2016,15,CW6,23941 SW 112 Ct
10/18/2016,11,CW6,23941 SW 112 Ct
10/25/2016,8,CW6,23941 SW 112 Ct
11/1/2016,21,CW6,23941 SW 112 Ct
11/8/2016,8,CW6,23941 SW 112 Ct
11/22/2016,28,CW6,23941 SW 112 Ct
11/29/2016,34,CW6,23941 SW 112 Ct
12/6/2016,25,CW6,23941 SW 112 Ct
12/13/2016,43,CW6,23941 SW 112 Ct
12/20/2016,22,CW6,23941 SW 112 Ct
12/27/2016,38,CW6,23941 SW 112 Ct
1/10/2017,97,CW6,23941 SW 112 Ct
1/17/2017,95,CW6,23941 SW 112 Ct
1/24/2017,141,CW6,23941 SW 112 Ct
1/31/2017,79,CW6,23941 SW 112 Ct
2/7/2017,33,CW6,23941 SW 112 Ct
2/16/2017,10,CW6,23941 SW 112 Ct
2/24/2017,29,CW6,23941 SW 112 Ct
3/2/2017,11,CW6,23941 SW 112 Ct
3/9/2017,39,CW6,23941 SW 112 Ct
3/16/2017,26,CW6,23941 SW 112 Ct
3/23/2017,142,CW6,23941 SW 112 Ct
3/30/2017,24,CW6,23941 SW 112 Ct
4/6/2017,2,CW6,23941 SW 112 Ct
4/13/2017,22,CW6,23941 SW 112 Ct
4/20/2017,73,CW6,23941 SW 112 Ct
4/27/2017,52,CW6,23941 SW 112 Ct
5/4/2017,30,CW6,23941 SW 112 Ct
5/11/2017,57,CW6,23941 SW 112 Ct
5/18/2017,2,CW6,23941 SW 112 Ct
5/25/2017,67,CW6,23941 SW 112 Ct
6/2/2017,28,CW6,23941 SW 112 Ct
6/15/2017,10,CW6,23941 SW 112 Ct
6/22/2017,4,CW6,23941 SW 112 Ct
6/29/2017,1,CW6,23941 SW 112 Ct
7/6/2017,22,CW6,23941 SW 112 Ct
7/13/2017,3,CW6,23941 SW 112 Ct
7/20/2017,3,CW6,23941 SW 112 Ct
7/27/2017,5,CW6,23941 SW 112 Ct
8/3/2017,19,CW6,23941 SW 112 Ct
8/10/2017,3,CW6,23941 SW 112 Ct
8/17/2017,5,CW6,23941 SW 112 Ct
8/24/2017,2,CW6,23941 SW 112 Ct
9/21/2017,3,CW6,23941 SW 112 Ct
9/28/2017,38,CW6,23941 SW 112 Ct
10/19/2017,11,CW6,23941 SW 112 Ct
10/26/2017,112,CW6,23941 SW 112 Ct
11/2/2017,24,CW6,23941 SW 112 Ct
11/9/2017,55,CW6,23941 SW 112 Ct
11/30/2017,145,CW6,23941 SW 112 Ct
12/7/2017,1,CW6,23941 SW 112 Ct
12/14/2017,96,CW6,23941 SW 112 Ct
12/22/2017,82,CW6,23941 SW 112 Ct
12/29/2017,103,CW6,23941 SW 112 Ct
1/5/2018,63,CW6,23941 SW 112 Ct
1/11/2018,24,CW6,23941 SW 112 Ct
1/19/2018,38,CW6,23941 SW 112 Ct
2/8/2018,236,CW6,23941 SW 112 Ct
2/15/2018,95,CW6,23941 SW 112 Ct
2/23/2018,23,CW6,23941 SW 112 Ct
3/1/2018,55,CW6,23941 SW 112 Ct
3/8/2018,79,CW6,23941 SW 112 Ct
3/22/2018,324,CW6,23941 SW 112 Ct
3/29/2018,48,CW6,23941 SW 112 Ct
4/13/2018,35,CW6,23941 SW 112 Ct
4/19/2018,33,CW6,23941 SW 112 Ct
4/24/2018,207,CW6,23941 SW 112 Ct
5/3/2018,11,CW6,23941 SW 112 Ct
5/10/2018,162,CW6,23941 SW 112 Ct
5/17/2018,103,CW6,23941 SW 112 Ct
5/24/2018,32,CW6,23941 SW 112 Ct
6/1/2018,3,CW6,23941 SW 112 Ct
6/7/2018,9,CW6,23941 SW 112 Ct
6/14/2018,79,CW6,23941 SW 112 Ct
6/21/2018,168,CW6,23941 SW 112 Ct
7/19/2018,28,CW6,23941 SW 112 Ct
7/26/2018,10,CW6,23941 SW 112 Ct
8/2/2018,6,CW6,23941 SW 112 Ct
8/9/2018,11,CW6,23941 SW 112 Ct
8/16/2018,6,CW6,23941 SW 112 Ct
8/23/2018,2,CW6,23941 SW 112 Ct
9/7/2018,1,CW6,23941 SW 112 Ct
9/14/2018,17,CW6,23941 SW 112 Ct
9/21/2018,3,CW6,23941 SW 112 Ct
9/28/2018,64,CW6,23941 SW 112 Ct
10/5/2018,21,CW6,23941 SW 112 Ct
10/12/2018,20,CW6,23941 SW 112 Ct
10/18/2018,20,CW6,23941 SW 112 Ct
10/25/2018,23,CW6,23941 SW 112 Ct
11/1/2018,1,CW6,23941 SW 112 Ct
11/8/2018,42,CW6,23941 SW 112 Ct
11/16/2018,7,CW6,23941 SW 112 Ct
11/29/2018,64,CW6,23941 SW 112 Ct
12/6/2018,27,CW6,23941 SW 112 Ct
12/13/2018,32,CW6,23941 SW 112 Ct
12/20/2018,10,CW6,23941 SW 112 Ct
1/10/2019,46,CW6,23941 SW 112 Ct
1/17/2019,284,CW6,23941 SW 112 Ct
